Month,Hours worked,Amount
01/03/14,23233.61,237321.03
01/04/14,16685.76,174216.56
01/05/14,19844.06,208562.24
01/06/14,17777.44,174613.68
01/07/14,20324.38,198659.35
01/08/14,19241.62,194075.66
01/09/14,16139.84,162455.88
01/10/14,15479.46,149637.91
01/11/14,9567.89,98443.73
01/12/14,14117.86,156265.80
01/01/15,12727.37,146527.52
01/02/15,12866.36,139457.97
01/03/15,10671.26,119127.49
