Month,Starters
01/04/14,69
01/05/13,36
01/06/13,51
01/07/13,67
01/08/13,37
01/09/13,93
01/10/13,69
01/11/13,43
01/12/13,40
01/01/14,78
01/02/14,28
01/03/14,25
01/04/14,127
01/05/14,23
01/06/14,39
01/07/14,27
01/08/14,54
01/09/14,56
01/10/14,65
01/11/14,26
01/12/14,20
