Month,FTEs
Apr-13,4456.76351
May-13,4470.36249
Jun-13,4360.81222
Jul-13,4433.30332
Aug-13,4434.86977
Sep-13,4438.20901
Oct-13,4567.86755
Nov-13,4504.85914
Dec-13,4514.03431
Jan-14,4501.93096
Feb-14,4535.37052
Mar-14,4515.82
Apr-14,4480.78922
May-14,4453.72056
Jun-14,4424.09867
Jul-14,4377.24208
Aug-14,4368.9717
Sep-14,4315.89818
Oct-14,4264.8184
Nov-14,4227.71157
Dec-14,4195.0542
Jan-15,4123.9
Feb-15,4087.1
Mar-15,3993.4
