Month,Assignments
01/04/13,6127
01/05/13,6128
01/06/13,5956
01/07/13,6038
01/08/13,6039
01/09/13,6029
01/10/13,6082
01/11/13,6111
01/12/13,6109
01/01/14,6071
01/02/14,6113
01/03/14,6076.5
01/04/14,5892.5
01/05/14,5138
01/06/14,5895.5
01/07/14,5652.5
01/08/14,5599.5
01/09/14,5741.5
01/10/14,5383.5
01/11/14,4702.5
01/12/14,5421
01/01/15,5212
01/02/15,5107.5
01/03/15,5125.5
