Month,Hours,Cost
01/04/14,16138.42,551999.00
01/05/14,28076,938927.00
01/06/14,23281.75,663834.00
01/07/14,26980.32,877608.00
01/08/14,29255.86,901705.00
01/09/14,27516.97,827127.00
01/10/14,35731.03317,1046307.00
01/11/14,27334.91,881334.00
01/12/14,25175.17,746735.00
01/01/15,28855.7,904361.00
01/02/15,30886.1,1020270.00
01/03/15,31470.9,966023.00
