Month,Active on Register,Redeployed,Redundancy costs saved,Strain costs saved
01/04/14,5,1,1031.40,0.00
01/05/14,0,14,137054.56,0.00
01/06/14,44,1,29840.30,0.00
01/07/14,544,2,43467.80,0.00
01/08/14,774,4,10717.42,4287.57
01/09/14,706,7,31359.27,0.00
01/10/14,649,0,0.00,0.00
01/11/14,643,0,0.00,0.00
01/12/14,0,11,33770.64,18660.58
01/01/15,906,24,126095.21,15120.65
01/02/15,908,7,66053.95,0.00
01/03/15,909,7,26377.72,0.00
